"","movies","genres"
"1","Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy"
"129","Jumanji (1995)","Adventure|Children|Fantasy"
"179","Grumpier Old Men (1995)","Comedy|Romance"
"207","Waiting to Exhale (1995)","Comedy|Drama|Romance"
"215","Father of the Bride Part II (1995)","Comedy"
"244","Heat (1995)","Action|Crime|Thriller"
"311","Sabrina (1995)","Comedy|Romance"
"347","Tom and Huck (1995)","Adventure|Children"
"352","Sudden Death (1995)","Action"
"363","GoldenEye (1995)","Action|Adventure|Thriller"
"435","American President, The (1995)","Comedy|Drama|Romance"
"484","Dracula: Dead and Loving It (1995)","Comedy|Horror"
"491","Balto (1995)","Adventure|Animation|Children"
"496","Nixon (1995)","Drama"
"517","Cutthroat Island (1995)","Action|Adventure|Romance"
"532","Casino (1995)","Crime|Drama"
"584","Sense and Sensibility (1995)","Drama|Romance"
"634","Four Rooms (1995)","Comedy"
"643","Ace Ventura: When Nature Calls (1995)","Comedy"
"704","Money Train (1995)","Action|Comedy|Crime|Drama|Thriller"
"725","Get Shorty (1995)","Comedy|Crime|Thriller"
"797","Copycat (1995)","Crime|Drama|Horror|Mystery|Thriller"
"832","Assassins (1995)","Action|Crime|Thriller"
"848","Powder (1995)","Drama|Sci-Fi"
"876","Leaving Las Vegas (1995)","Drama|Romance"
"921","Othello (1995)","Drama"
"925","Now and Then (1995)","Children|Drama"
"930","Persuasion (1995)","Drama|Romance"
"937","City of Lost Children, The (Cité des enfants perdus, La) (1995)","Adventure|Drama|Fantasy|Mystery|Sci-Fi"
"964","Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)","Crime|Drama"
"967","Dangerous Minds (1995)","Drama"
"989","Twelve Monkeys (a.k.a. 12 Monkeys) (1995)","Mystery|Sci-Fi|Thriller"
"1107","Babe (1995)","Children|Drama"
"1193","Carrington (1995)","Drama|Romance"
"1196","Dead Man Walking (1995)","Crime|Drama"
"1242","It Takes Two (1995)","Children|Comedy"
"1243","Clueless (1995)","Comedy|Romance"
"1313","Cry, the Beloved Country (1995)","Drama"
"1318","Richard III (1995)","Drama|War"
"1331","Dead Presidents (1995)","Action|Crime|Drama"
"1342","Restoration (1995)","Drama"
"1346","Mortal Kombat (1995)","Action|Adventure|Fantasy"
"1376","To Die For (1995)","Comedy|Drama|Thriller"
"1403","How to Make an American Quilt (1995)","Drama|Romance"
"1408","Seven (a.k.a. Se7en) (1995)","Mystery|Thriller"
"1529","Pocahontas (1995)","Animation|Children|Drama|Musical|Romance"
"1564","Usual Suspects, The (1995)","Crime|Mystery|Thriller"
"1684","Mighty Aphrodite (1995)","Comedy|Drama|Romance"
"1714","Big Green, The (1995)","Children|Comedy"
"1717","Georgia (1995)","Drama"
"1722","Home for the Holidays (1995)","Drama"
"1731","Postman, The (Postino, Il) (1994)","Comedy|Drama|Romance"
"1769","Confessional, The (Confessionnal, Le) (1995)","Drama|Mystery"
"1770","Indian in the Cupboard, The (1995)","Adventure|Children|Fantasy"
"1786","Eye for an Eye (1996)","Drama|Thriller"
"1794","Mr. Holland's Opus (1995)","Drama"
"1837","Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)","Comedy|Crime"
"1841","Two if by Sea (1996)","Comedy|Romance"
"1847","Bio-Dome (1996)","Comedy"
"1860","Lawnmower Man 2: Beyond Cyberspace (1996)","Action|Sci-Fi|Thriller"
"1866","Two Bits (1995)","Drama"
"1868","French Twist (Gazon maudit) (1995)","Comedy|Romance"
"1873","Friday (1995)","Comedy"
"1885","From Dusk Till Dawn (1996)","Action|Comedy|Horror|Thriller"
"1921","Fair Game (1995)","Action"
"1925","Kicking and Screaming (1995)","Comedy|Drama"
"1927","Misérables, Les (1995)","Drama|War"
"1936","Bed of Roses (1996)","Drama|Romance"
"1946","Big Bully (1996)","Comedy|Drama"
"1947","Screamers (1995)","Action|Sci-Fi|Thriller"
"1958","Nico Icon (1995)","Documentary"
"1960","Crossing Guard, The (1995)","Action|Crime|Drama|Thriller"
"1965","Juror, The (1996)","Drama|Thriller"
"1980","White Balloon, The (Badkonake sefid) (1995)","Children|Drama"
"1981","Things to Do in Denver When You're Dead (1995)","Crime|Drama|Romance"
"1991","Antonia's Line (Antonia) (1995)","Comedy|Drama"
"1995","Once Upon a Time... When We Were Colored (1995)","Drama|Romance"
"1997","Last Summer in the Hamptons (1995)","Comedy|Drama"
"2000","Angels and Insects (1995)","Drama|Romance"
"2007","White Squall (1996)","Action|Adventure|Drama"
"2016","Dunston Checks In (1996)","Children|Comedy"
"2021","Black Sheep (1996)","Comedy"
"2032","Nick of Time (1995)","Action|Thriller"
"2046","Journey of August King, The (1995)","Drama"
"2047","Mary Reilly (1996)","Drama|Horror|Thriller"
"2052","Vampire in Brooklyn (1995)","Comedy|Horror|Romance"
"2062","Beautiful Girls (1996)","Comedy|Drama|Romance"
"2067","Broken Arrow (1996)","Action|Adventure|Thriller"
"2123","In the Bleak Midwinter (1995)","Comedy|Drama"
"2124","Hate (Haine, La) (1995)","Crime|Drama"
"2129","Heidi Fleiss: Hollywood Madam (1995)","Documentary"
"2131","City Hall (1996)","Drama|Thriller"
"2138","Bottle Rocket (1996)","Adventure|Comedy|Crime|Romance"
"2149","Mr. Wrong (1996)","Comedy"
"2156","Unforgettable (1996)","Mystery|Sci-Fi|Thriller"
"2158","Happy Gilmore (1996)","Comedy"
"2204","Bridges of Madison County, The (1995)","Drama|Romance"
"2223","Nobody Loves Me (Keiner liebt mich) (1994)","Comedy|Drama"
"2224","Muppet Treasure Island (1996)","Adventure|Children|Comedy|Musical"
"2235","Braveheart (1995)","Action|Drama|War"
"2369","Taxi Driver (1976)","Crime|Drama|Thriller"
"2439","Rumble in the Bronx (Hont faan kui) (1995)","Action|Adventure|Comedy|Crime"
"2470","Before and After (1996)","Drama|Mystery"
"2475","Margaret's Museum (1995)","Drama"
"2476","Anne Frank Remembered (1995)","Documentary"
"2479","Young Poisoner's Handbook, The (1995)","Crime|Drama"
"2482","If Lucy Fell (1996)","Comedy|Romance"
"2483","Steal Big, Steal Little (1995)","Comedy"
"2484","Boys of St. Vincent, The (1992)","Drama"
"2488","Boomerang (1992)","Comedy|Romance"
"2503","Chungking Express (Chung Hing sam lam) (1994)","Drama|Mystery|Romance"
"2507","Star Maker, The (Uomo delle stelle, L') (1995)","Drama"
"2509","Flirting With Disaster (1996)","Comedy"
"2522","NeverEnding Story III, The (1994)","Adventure|Children|Fantasy"
"2526","Pie in the Sky (1996)","Comedy|Romance"
"2528","Angela (1995)","Drama"
"2529","Frankie Starlight (1995)","Drama|Romance"
"2531","Jade (1995)","Thriller"
"2539","Down Periscope (1996)","Comedy"
"2559","From the Journals of Jean Seberg (1995)","Documentary"
"2560","Target (1995)","Action|Drama"
"2561","Up Close and Personal (1996)","Drama|Romance"
